model,agent,prompt,functional_correctness,mutation_score,line_coverage,branch_coverage,prompt_tokens,completion_tokens,total_tokens
gemma-1b,actor_critic,few_shot,0.525,0.65,63.625,,1867.68,609.72,2477.4
gemma-1b,hybrid,few_shot,0.38604,0.73,64.17391304347827,,2958.04,1668.04,4626.08
gemma-1b,adversarial,few_shot,0.34572,0.586,46.47826086956522,0.0,1283.32,289.0,1572.32
gemma-1b,adversarial,zero_shot,0.28108,0.84,47.791666666666664,0.0,1444.8,1133.68,2578.48
gemma-1b,actor_critic,zero_shot,0.27816,1.0,68.91666666666667,,2483.6,925.08,3408.68
gemma-1b,hybrid,scot,0.26496,1.0,54.64,,3123.76,3060.8,6184.56
gemma-1b,hybrid,zero_shot,0.25816,1.0,63.38095238095238,,3191.88,2887.12,6079.0
gemma-1b,swarm,few_shot,0.17028,0.9279999999999999,41.72727272727273,,2522.68,2026.2,4548.88
gemma-1b,adversarial,scot,0.16476,0.76,37.54545454545455,0.0,1315.36,360.32,1675.68
gemma-1b,actor_critic,scot,0.15272,1.0,49.791666666666664,,2325.44,1136.56,3462.0
gemma-1b,consensus,zero_shot,0.12136,1.0,39.541666666666664,,3356.76,1534.52,4891.28
gemma-1b,consensus,few_shot,0.12,0.9253199999999999,24.545454545454547,,3122.24,1239.04,4361.28
gemma-1b,baseline,zero_shot,0.11748000000000001,0.84,27.24,0.0,2196.0,1604.0,3800.0
gemma-1b,swarm,zero_shot,0.10800000000000001,0.92,33.77272727272727,,2103.0,1507.4,3610.4
gemma-1b,baseline,few_shot,0.10332000000000001,0.688,26.458333333333332,0.0,2240.04,1948.68,4188.72
gemma-1b,soa,zero_shot,0.06939999999999999,0.72,25.428571428571427,0.0,967.76,956.08,1923.84
gemma-1b,swarm,cot,0.06,0.96,42.23529411764706,,2538.52,2257.48,4796.0
gemma-1b,baseline,scot,0.050760000000000007,0.72,19.28,0.0,2083.6,1656.6,3740.2
gemma-1b,swarm,scot,0.050760000000000007,1.0,25.73913043478261,,2589.24,1449.84,4039.08
gemma-1b,soa,scot,0.049640000000000004,0.76,17.68,0.0,980.96,622.48,1603.44
gemma-1b,atomic_swarm,few_shot,0.04,0.97,17.65,,2332.32,1229.92,3562.24
gemma-1b,soa,few_shot,0.04,0.8079999999999999,13.4,0.0,1117.04,685.76,1802.8
gemma-1b,coa,few_shot,0.033319999999999995,1.0,20.125,,1940.84,1107.16,3048.0
gemma-1b,coa,scot,0.03248,1.0,21.88,,2807.72,1816.0,4623.72
gemma-1b,self_healing,scot,0.027999999999999997,0.68,15.44,0.0,2253.0,629.8,2882.8
gemma-1b,atomic_swarm,scot,0.02544,1.0,18.56,,3832.92,3236.6,7069.52
gemma-1b,soa,cot,0.01332,0.72,13.08,0.0,1111.04,673.52,1784.56
gemma-1b,actor_critic,cot,0.0,1.0,14.64,,1921.32,474.04,2395.36
gemma-1b,adversarial,cot,0.0,0.8,12.2,0.0,1847.2,401.52,2248.72
gemma-1b,atomic_swarm,cot,0.0,1.0,18.294117647058822,,3208.72,1914.68,5123.4
gemma-1b,atomic_swarm,zero_shot,0.0,1.0,14.68,,2695.64,1579.92,4275.56
gemma-1b,baseline,cot,0.0,0.8,11.92,0.0,2004.04,1481.8,3485.84
gemma-1b,coa,cot,0.0,1.0,16.24,,2193.8,1327.04,3520.84
gemma-1b,coa,zero_shot,0.0,1.0,17.08,,1673.88,1476.52,3150.4
gemma-1b,consensus,cot,0.0,1.0,19.782608695652176,,2462.84,1281.44,3744.28
gemma-1b,consensus,scot,0.0,1.0,18.272727272727273,,2635.36,1701.84,4337.2
gemma-1b,hybrid,cot,0.0,1.0,16.25,,2081.92,1823.4,3905.32
gemma-1b,self_healing,cot,0.0,0.64,8.818181818181818,0.0,2536.2,668.0,3204.2
gemma-1b,self_healing,few_shot,0.0,0.8,12.0,0.0,1923.08,844.08,2767.16
gemma-1b,self_healing,zero_shot,0.0,0.64,11.12,0.0,2862.2,730.32,3592.52
gemma-4b,atomic_swarm,few_shot,0.93336,0.44868,87.0,,2467.48,485.32,2952.8
gemma-4b,swarm,few_shot,0.856,0.26536000000000004,74.2,,2451.52,2083.28,4534.8
gemma-4b,coa,few_shot,0.83344,0.66932,78.76,,2277.32,119.12,2396.44
gemma-4b,atomic_swarm,zero_shot,0.79668,0.542,70.88,,2282.96,396.4,2679.36
gemma-4b,atomic_swarm,cot,0.774,0.53668,56.64,,2695.76,211.08,2906.84
gemma-4b,coa,zero_shot,0.75996,0.7559999999999999,86.83333333333333,,1778.64,15.8,1794.44
gemma-4b,hybrid,few_shot,0.7413599999999999,1.0,85.52,,4565.72,932.44,5498.16
gemma-4b,atomic_swarm,scot,0.73256,0.57,52.75,,1542.36,62.72,1605.08
gemma-4b,swarm,scot,0.71664,0.73,75.36,0.0,3050.52,504.44,3554.96
gemma-4b,coa,cot,0.71044,0.748,59.36,,1352.2,79.88,1432.08
gemma-4b,actor_critic,few_shot,0.70976,0.888,82.95833333333333,,3258.16,1164.52,4422.68
gemma-4b,swarm,zero_shot,0.6977599999999999,0.6579999999999999,75.08,0.0,2738.44,1545.84,4284.28
gemma-4b,coa,scot,0.65364,0.89,62.08,,1831.56,299.76,2131.32
gemma-4b,consensus,few_shot,0.6344,0.9359999999999999,78.24,,2593.16,103.2,2696.36
gemma-4b,actor_critic,zero_shot,0.63068,0.93,82.6,,2176.36,758.96,2935.32
gemma-4b,swarm,cot,0.6078,0.77,77.0,0.0,2893.64,2243.2,5136.84
gemma-4b,consensus,scot,0.6050800000000001,0.89,76.24,,4917.36,304.0,5221.36
gemma-4b,actor_critic,scot,0.60492,0.92,80.78260869565217,,2705.08,775.48,3480.56
gemma-4b,consensus,zero_shot,0.5966400000000001,0.92,82.4,,3855.6,428.08,4283.68
gemma-4b,actor_critic,cot,0.57648,0.88,80.48,,2385.64,273.48,2659.12
gemma-4b,consensus,cot,0.57048,0.96,79.68,,5234.92,449.2,5684.12
gemma-4b,soa,few_shot,0.56724,0.7040000000000001,70.88,0.0,930.56,389.68,1320.24
gemma-4b,hybrid,zero_shot,0.5566,0.89,83.16,,2960.6,313.36,3273.96
gemma-4b,baseline,few_shot,0.5548000000000001,0.568,58.72,0.0,3756.04,2258.72,6014.76
gemma-4b,hybrid,scot,0.5452,0.85,74.12,0.0,2964.24,402.64,3366.88
gemma-4b,soa,scot,0.53272,0.56668,58.6,0.0,1133.88,65.96,1199.84
gemma-4b,soa,zero_shot,0.5082800000000001,0.73,67.72,0.0,1024.68,197.84,1222.52
gemma-4b,baseline,zero_shot,0.50048,0.56,60.36,0.0,3400.36,2202.76,5603.12
gemma-4b,baseline,cot,0.48404,0.52,56.72,0.0,3227.84,2083.24,5311.08
gemma-4b,hybrid,cot,0.47808,0.9266800000000001,79.33333333333333,,2395.68,242.76,2638.44
gemma-4b,self_healing,scot,0.47387999999999997,0.68,59.958333333333336,0.0,764.04,155.76,919.8
gemma-4b,adversarial,zero_shot,0.46872,0.69,65.70833333333333,0.0,1831.84,1327.72,3159.56
gemma-4b,baseline,scot,0.45744,0.578,54.44,0.0,3808.12,2261.08,6069.2
gemma-4b,soa,cot,0.45004,0.76,62.72,0.0,879.76,125.92,1005.68
gemma-4b,adversarial,few_shot,0.43816000000000005,0.56,48.8,0.0,1851.36,1087.68,2939.04
gemma-4b,adversarial,cot,0.42752,0.57,55.64,0.0,1831.6,435.96,2267.56
gemma-4b,self_healing,zero_shot,0.41516,0.56,52.96,0.0,1196.92,282.12,1479.04
gemma-4b,self_healing,cot,0.3726,0.68,58.583333333333336,0.0,1676.72,311.52,1988.24
gemma-4b,adversarial,scot,0.17559999999999998,0.56,31.68421052631579,0.0,1881.88,452.72,2334.6
gemma-4b,self_healing,few_shot,0.172,0.72,28.72,0.0,982.8,220.2,1203.0
