model,agent,prompt,functional_correctness,mutation_score,line_coverage,branch_coverage,bloat_ratio,total_tokens,edge_case_index,token_efficiency
gemma-1b,actor_critic,cot,0.0,1.0,14.64,,1.2256,2395.36,,
gemma-1b,actor_critic,few_shot,0.525,0.65,63.625,,1.7356,2477.4,,
gemma-1b,actor_critic,scot,0.15272,1.0,49.791666666666664,,2.4624,3462.0,,
gemma-1b,actor_critic,zero_shot,0.27816,1.0,68.91666666666667,,2.4348,3408.68,,
gemma-1b,adversarial,cot,0.0,0.8,12.2,0.0,0.9695999999999999,2248.72,0.0,0.0
gemma-1b,adversarial,few_shot,0.34572,0.586,46.47826086956522,0.0,1.4287999999999998,1572.32,0.0,0.0
gemma-1b,adversarial,scot,0.16476,0.76,37.54545454545455,0.0,1.5288,1675.68,0.0,0.0
gemma-1b,adversarial,zero_shot,0.28108,0.84,47.791666666666664,0.0,1.7863999999999998,2578.48,0.0,0.0
gemma-1b,atomic_swarm,cot,0.0,1.0,18.294117647058822,,2.5540000000000003,5123.4,,
gemma-1b,atomic_swarm,few_shot,0.04,0.97,17.65,,2.6668000000000003,3562.24,,
gemma-1b,atomic_swarm,scot,0.02544,1.0,18.56,,4.2272,7069.52,,
gemma-1b,atomic_swarm,zero_shot,0.0,1.0,14.68,,3.7403999999999997,4275.56,,
gemma-1b,baseline,cot,0.0,0.8,11.92,0.0,0.9228000000000001,3485.84,0.0,0.0
gemma-1b,baseline,few_shot,0.10332000000000001,0.688,26.458333333333332,0.0,0.9728,4188.72,0.0,0.0
gemma-1b,baseline,scot,0.050760000000000007,0.72,19.28,0.0,1.1323999999999999,3740.2,0.0,0.0
gemma-1b,baseline,zero_shot,0.11748000000000001,0.84,27.24,0.0,1.3052000000000001,3800.0,0.0,0.0
gemma-1b,coa,cot,0.0,1.0,16.24,,3.514,3520.84,,
gemma-1b,coa,few_shot,0.033319999999999995,1.0,20.125,,3.4960000000000004,3048.0,,
gemma-1b,coa,scot,0.03248,1.0,21.88,,4.0952,4623.72,,
gemma-1b,coa,zero_shot,0.0,1.0,17.08,,3.4872,3150.4,,
gemma-1b,consensus,cot,0.0,1.0,19.782608695652176,,0.9244,3744.28,,
gemma-1b,consensus,few_shot,0.12,0.9253199999999999,24.545454545454547,,0.6896,4361.28,,
gemma-1b,consensus,scot,0.0,1.0,18.272727272727273,,1.0524,4337.2,,
gemma-1b,consensus,zero_shot,0.12136,1.0,39.541666666666664,,1.4808000000000001,4891.28,,
gemma-1b,hybrid,cot,0.0,1.0,16.25,,1.0016,3905.32,,
gemma-1b,hybrid,few_shot,0.38604,0.73,64.17391304347827,,2.1864,4626.08,,
gemma-1b,hybrid,scot,0.26496,1.0,54.64,,2.454,6184.56,,
gemma-1b,hybrid,zero_shot,0.25816,1.0,63.38095238095238,,2.3424,6079.0,,
gemma-1b,self_healing,cot,0.0,0.64,8.818181818181818,0.0,0.5479999999999999,3204.2,0.0,0.0
gemma-1b,self_healing,few_shot,0.0,0.8,12.0,0.0,0.9723999999999999,2767.16,0.0,0.0
gemma-1b,self_healing,scot,0.027999999999999997,0.68,15.44,0.0,0.8931999999999999,2882.8,0.0,0.0
gemma-1b,self_healing,zero_shot,0.0,0.64,11.12,0.0,0.7768,3592.52,0.0,0.0
gemma-1b,soa,cot,0.01332,0.72,13.08,0.0,0.8448,1784.56,0.0,0.0
gemma-1b,soa,few_shot,0.04,0.8079999999999999,13.4,0.0,0.9872,1802.8,0.0,0.0
gemma-1b,soa,scot,0.049640000000000004,0.76,17.68,0.0,1.2844,1603.44,0.0,0.0
gemma-1b,soa,zero_shot,0.06939999999999999,0.72,25.428571428571427,0.0,1.0964,1923.84,0.0,0.0
gemma-1b,swarm,cot,0.06,0.96,42.23529411764706,,2.2072,4796.0,,
gemma-1b,swarm,few_shot,0.17028,0.9279999999999999,41.72727272727273,,2.0936000000000003,4548.88,,
gemma-1b,swarm,scot,0.050760000000000007,1.0,25.73913043478261,,3.008,4039.08,,
gemma-1b,swarm,zero_shot,0.10800000000000001,0.92,33.77272727272727,,2.9188,3610.4,,
gemma-4b,actor_critic,cot,0.57648,0.88,80.48,,3.2992000000000004,2659.12,,
gemma-4b,actor_critic,few_shot,0.70976,0.888,82.95833333333333,,3.5516,4422.68,,
gemma-4b,actor_critic,scot,0.60492,0.92,80.78260869565217,,3.4424,3480.56,,
gemma-4b,actor_critic,zero_shot,0.63068,0.93,82.6,,3.2168,2935.32,,
gemma-4b,adversarial,cot,0.42752,0.57,55.64,0.0,1.9644,2267.56,0.0,0.0
gemma-4b,adversarial,few_shot,0.43816000000000005,0.56,48.8,0.0,2.6212,2939.04,0.0,0.0
gemma-4b,adversarial,scot,0.17559999999999998,0.56,31.68421052631579,0.0,1.2472,2334.6,0.0,0.0
gemma-4b,adversarial,zero_shot,0.46872,0.69,65.70833333333333,0.0,2.2144,3159.56,0.0,0.0
gemma-4b,atomic_swarm,cot,0.774,0.53668,56.64,,3.4672,2906.84,,
gemma-4b,atomic_swarm,few_shot,0.93336,0.44868,87.0,,0.852,2952.8,,
gemma-4b,atomic_swarm,scot,0.73256,0.57,52.75,,4.0072,1605.08,,
gemma-4b,atomic_swarm,zero_shot,0.79668,0.542,70.88,,2.4652,2679.36,,
gemma-4b,baseline,cot,0.48404,0.52,56.72,0.0,1.932,5311.08,0.0,0.0
gemma-4b,baseline,few_shot,0.5548000000000001,0.568,58.72,0.0,2.3512,6014.76,0.0,0.0
gemma-4b,baseline,scot,0.45744,0.578,54.44,0.0,2.4892000000000003,6069.2,0.0,0.0
gemma-4b,baseline,zero_shot,0.50048,0.56,60.36,0.0,2.0996,5603.12,0.0,0.0
gemma-4b,coa,cot,0.71044,0.748,59.36,,4.817200000000001,1432.08,,
gemma-4b,coa,few_shot,0.83344,0.66932,78.76,,1.8396000000000001,2396.44,,
gemma-4b,coa,scot,0.65364,0.89,62.08,,7.2572,2131.32,,
gemma-4b,coa,zero_shot,0.75996,0.7559999999999999,86.83333333333333,,1.942,1794.44,,
gemma-4b,consensus,cot,0.57048,0.96,79.68,,3.1,5684.12,,
gemma-4b,consensus,few_shot,0.6344,0.9359999999999999,78.24,,2.4856,2696.36,,
gemma-4b,consensus,scot,0.6050800000000001,0.89,76.24,,2.8764,5221.36,,
gemma-4b,consensus,zero_shot,0.5966400000000001,0.92,82.4,,2.9536000000000002,4283.68,,
gemma-4b,hybrid,cot,0.47808,0.9266800000000001,79.33333333333333,,2.9004000000000003,2638.44,,
gemma-4b,hybrid,few_shot,0.7413599999999999,1.0,85.52,,5.5,5498.16,,
gemma-4b,hybrid,scot,0.5452,0.85,74.12,0.0,3.03,3366.88,0.0,0.0
gemma-4b,hybrid,zero_shot,0.5566,0.89,83.16,,3.2024,3273.96,,
gemma-4b,self_healing,cot,0.3726,0.68,58.583333333333336,0.0,1.9564,1988.24,0.0,0.0
gemma-4b,self_healing,few_shot,0.172,0.72,28.72,0.0,1.6924000000000001,1203.0,0.0,0.0
gemma-4b,self_healing,scot,0.47387999999999997,0.68,59.958333333333336,0.0,2.2452,919.8,0.0,0.0
gemma-4b,self_healing,zero_shot,0.41516,0.56,52.96,0.0,1.834,1479.04,0.0,0.0
gemma-4b,soa,cot,0.45004,0.76,62.72,0.0,2.6112,1005.68,0.0,0.0
gemma-4b,soa,few_shot,0.56724,0.7040000000000001,70.88,0.0,1.646,1320.24,0.0,0.0
gemma-4b,soa,scot,0.53272,0.56668,58.6,0.0,2.8816,1199.84,0.0,0.0
gemma-4b,soa,zero_shot,0.5082800000000001,0.73,67.72,0.0,2.5263999999999998,1222.52,0.0,0.0
gemma-4b,swarm,cot,0.6078,0.77,77.0,0.0,2.1004,5136.84,0.0,0.0
gemma-4b,swarm,few_shot,0.856,0.26536000000000004,74.2,,0.6568,4534.8,,
gemma-4b,swarm,scot,0.71664,0.73,75.36,0.0,2.1452,3554.96,0.0,0.0
gemma-4b,swarm,zero_shot,0.6977599999999999,0.6579999999999999,75.08,0.0,1.9492000000000003,4284.28,0.0,0.0
