model,agent,prompt,config_label,problems,passed_mean,failed_mean,errors_mean,total_mean,functional_correctness_mean,line_coverage_mean,branch_coverage_mean,mutation_score_mean,complexity_cc_mean,maintainability_mi_mean,bloat_ratio_mean,similarity_score_mean,unique_inputs_count_mean,edge_case_count_mean,test_type_count_mean,duplication_ratio_mean,diversity_score_mean,prompt_tokens_mean,completion_tokens_mean,total_tokens_mean,execution_time_mean,passed_sum,functional_correctness_sum,line_coverage_sum,mutation_score_sum,prompt_tokens_sum,completion_tokens_sum,total_tokens_sum,fc_per_1k_tokens,passed_per_1k_tokens,coverage_per_1k_tokens,mutation_per_1k_tokens,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,unique_inputs_count,edge_case_count,test_type_count,duplication_ratio,diversity_score,prompt_tokens,completion_tokens,total_tokens,elapsed_s,quality_rank
gemma-12b,actor_critic,zero_shot,gemma-12b:zero_shot,25,3.08,1.24,0.68,5.0,0.22456,84.90875,75.8125,0.0,2.4224,54.5376,2.9844,0.14812,15.36,1.0,2.6,0.28628,0.51616,3204.68,0.0,3204.68,39.13,77.0,5.614,679.27,0.0,80117.0,0.0,80117.0,0.0700725189,0.9610943994,8.47847523,0.0,3.08,1.24,0.68,5.0,0.22456,84.90875,75.8125,0.0,2.4224,54.5376,2.9844,0.14812,15.36,1.0,2.6,0.28628,0.51616,3204.68,0.0,3204.68,39.13,42.415135
gemma-12b,actor_critic,cot,gemma-12b:cot,25,8.48,3.32,0.08,11.88,0.63748,85.0934782609,67.5743478261,0.01,2.8588,63.458,3.3888,0.3474,11.76,0.92,2.32,0.32268,0.47772,1962.8,0.0,1962.8,42.3136,212.0,15.937,1957.15,0.25,49070.0,0.0,49070.0,0.3247809252,4.3203586713,39.8848583656,0.0050947626,8.48,3.32,0.08,11.88,0.63748,85.0934782609,67.5743478261,0.01,2.8588,63.458,3.3888,0.3474,11.76,0.92,2.32,0.32268,0.47772,1962.8,0.0,1962.8,42.3136,59.889249
gemma-12b,actor_critic,scot,gemma-12b:scot,25,6.08,2.36,0.32,8.76,0.4764,84.07,70.5641176471,0.0,2.3316,60.2608,2.9068,0.25412,9.32,0.68,1.96,0.4468,0.40172,2176.56,0.0,2176.56,43.9148,152.0,11.91,1429.19,0.0,54414.0,0.0,54414.0,0.2188774948,2.7933987577,26.2651155953,0.0,6.08,2.36,0.32,8.76,0.4764,84.07,70.5641176471,0.0,2.3316,60.2608,2.9068,0.25412,9.32,0.68,1.96,0.4468,0.40172,2176.56,0.0,2176.56,43.9148,52.083003
gemma-12b,actor_critic,few_shot,gemma-12b:few_shot,25,5.72,2.4,0.12,8.24,0.5302,75.1309090909,59.0718181818,0.01,3.1792,64.4292,2.6272,0.35188,12.56,0.88,2.68,0.25208,0.54376,2609.72,0.0,2609.72,36.9632,143.0,13.255,1652.88,0.25,65243.0,0.0,65243.0,0.2031635578,2.1918060175,25.3342120994,0.0038318287,5.72,2.4,0.12,8.24,0.5302,75.1309090909,59.0718181818,0.01,3.1792,64.4292,2.6272,0.35188,12.56,0.88,2.68,0.25208,0.54376,2609.72,0.0,2609.72,36.9632,53.171076
gemma-12b,adversarial,zero_shot,gemma-12b:zero_shot,25,3.24,0.76,0.6,4.6,0.32008,84.869,68.529,0.0,3.36,60.0976,2.9032,0.2006,9.04,0.64,2.12,0.4,0.39772,701.8,0.0,701.8,11.7096,81.0,8.002,848.69,0.0,17545.0,0.0,17545.0,0.4560843545,4.6166999145,48.3721858079,0.0,3.24,0.76,0.6,4.6,0.32008,84.869,68.529,0.0,3.36,60.0976,2.9032,0.2006,9.04,0.64,2.12,0.4,0.39772,701.8,0.0,701.8,11.7096,47.350298
gemma-12b,adversarial,cot,gemma-12b:cot,25,7.16,2.32,0.12,9.6,0.63504,84.0118181818,70.36,0.0,3.074,67.6528,3.0948,0.36072,9.0,0.48,1.84,0.48308,0.36032,905.2,0.0,905.2,13.986,179.0,15.876,1848.26,0.0,22630.0,0.0,22630.0,0.7015466195,7.9098541759,81.6730004419,0.0,7.16,2.32,0.12,9.6,0.63504,84.0118181818,70.36,0.0,3.074,67.6528,3.0948,0.36072,9.0,0.48,1.84,0.48308,0.36032,905.2,0.0,905.2,13.986,59.172782
gemma-12b,adversarial,scot,gemma-12b:scot,25,5.84,1.84,0.2,7.88,0.60784,83.8745,67.7585,0.008,2.2708,65.67,2.3284,0.39872,3.52,0.24,0.84,0.76,0.16904,1195.16,0.0,1195.16,14.2112,146.0,15.196,1677.49,0.2,29879.0,0.0,29879.0,0.5085846247,4.886375046,56.1427758626,0.0066936644,5.84,1.84,0.2,7.88,0.60784,83.8745,67.7585,0.008,2.2708,65.67,2.3284,0.39872,3.52,0.24,0.84,0.76,0.16904,1195.16,0.0,1195.16,14.2112,55.990189
gemma-12b,adversarial,few_shot,gemma-12b:few_shot,25,1.56,0.88,0.0,2.44,0.20352,35.1324,26.52,0.01,4.5548,78.728,1.9772,0.60152,3.64,0.08,0.28,0.92,0.05736,1115.16,0.0,1115.16,14.1476,39.0,5.088,878.31,0.25,27879.0,0.0,27879.0,0.1825029592,1.3989023997,31.504358119,0.0089673231,1.56,0.88,0.0,2.44,0.20352,35.1324,26.52,0.01,4.5548,78.728,1.9772,0.60152,3.64,0.08,0.28,0.92,0.05736,1115.16,0.0,1115.16,14.1476,26.618857
gemma-12b,atomic_swarm,zero_shot,gemma-12b:zero_shot,25,2.24,0.68,0.04,2.96,0.75336,90.9124,86.3468,0.11668,2.334,67.4636,0.842,0.09152,3.48,0.84,3.16,0.03996,0.52016,1082.36,0.0,1082.36,17.612,56.0,18.834,2272.81,2.917,27059.0,0.0,27059.0,0.6960345911,2.0695517203,83.994604383,0.1078014709,2.24,0.68,0.04,2.96,0.75336,90.9124,86.3468,0.11668,2.334,67.4636,0.842,0.09152,3.48,0.84,3.16,0.03996,0.52016,1082.36,0.0,1082.36,17.612,68.815912
gemma-12b,atomic_swarm,cot,gemma-12b:cot,25,2.24,0.68,0.04,2.96,0.75336,91.2388,86.3468,0.12,2.334,67.4312,0.8428,0.0918,3.36,0.84,3.16,0.03996,0.51716,1095.6,0.0,1095.6,19.9872,56.0,18.834,2280.97,3.0,27390.0,0.0,27390.0,0.6876232202,2.0445418036,83.2774735305,0.1095290252,2.24,0.68,0.04,2.96,0.75336,91.2388,86.3468,0.12,2.334,67.4312,0.8428,0.0918,3.36,0.84,3.16,0.03996,0.51716,1095.6,0.0,1095.6,19.9872,68.9051
