model,agent,prompt,config_label,problems,passed_mean,failed_mean,errors_mean,total_mean,functional_correctness_mean,line_coverage_mean,branch_coverage_mean,mutation_score_mean,complexity_cc_mean,maintainability_mi_mean,bloat_ratio_mean,similarity_score_mean,unique_inputs_count_mean,edge_case_count_mean,test_type_count_mean,duplication_ratio_mean,diversity_score_mean,prompt_tokens_mean,completion_tokens_mean,total_tokens_mean,execution_time_mean,passed_sum,functional_correctness_sum,line_coverage_sum,mutation_score_sum,prompt_tokens_sum,completion_tokens_sum,total_tokens_sum,fc_per_1k_tokens,passed_per_1k_tokens,coverage_per_1k_tokens,mutation_per_1k_tokens,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,unique_inputs_count,edge_case_count,test_type_count,duplication_ratio,diversity_score,prompt_tokens,completion_tokens,total_tokens,elapsed_s,quality_rank
gemma-12b,actor_critic,zero_shot,gemma-12b:zero_shot,25,2.56,1.12,0.76,4.44,0.16272,87.08,77.1066666667,0.97,2.2584,62.538,3.636,0.30368,15.28,0.92,2.76,0.26132,0.53508,1343.6,0.46,1337.34,,128.0,8.136,1044.96,48.5,67180.0,23.0,66867.0,0.1216743685,1.9142476857,15.6274395442,0.7253204122,2.56,1.12,0.76,4.44,0.16272,87.08,77.1066666667,0.97,2.2584,62.538,3.636,0.30368,15.28,0.92,2.76,0.26132,0.53508,1343.6,0.46,1337.34,,53.975239
gemma-12b,actor_critic,cot,gemma-12b:cot,25,11.76,3.76,0.04,15.56,0.7172,86.5616666667,67.40625,0.925,2.5288,68.5324,4.2412,0.30592,11.84,0.8,2.16,0.36308,0.4576,1433.88,9.74,1438.38,,588.0,35.86,4154.96,46.25,71694.0,487.0,71919.0,0.4986164991,8.1758645142,57.7727721464,0.6430845813,11.76,3.76,0.04,15.56,0.7172,86.5616666667,67.40625,0.925,2.5288,68.5324,4.2412,0.30592,11.84,0.8,2.16,0.36308,0.4576,1433.88,9.74,1438.38,,74.257404
gemma-12b,actor_critic,scot,gemma-12b:scot,25,5.96,2.36,0.36,8.68,0.4566,86.39375,62.73625,0.97,2.4764,69.9516,3.75,0.34448,12.28,0.96,2.52,0.32364,0.49816,1132.38,15.06,1142.08,,298.0,22.83,2764.6,48.5,56619.0,753.0,57104.0,0.3997968619,5.2185486131,48.4134211264,0.8493275427,5.96,2.36,0.36,8.68,0.4566,86.39375,62.73625,0.97,2.4764,69.9516,3.75,0.34448,12.28,0.96,2.52,0.32364,0.49816,1132.38,15.06,1142.08,,65.803539
gemma-12b,actor_critic,few_shot,gemma-12b:few_shot,25,6.56,2.76,0.0,9.32,0.56492,70.5252,56.2188,0.925,2.7876,74.3564,3.4668,0.37968,10.32,0.88,2.84,0.20632,0.55316,1163.9,0.44,1160.16,,328.0,28.246,3526.26,46.25,58195.0,22.0,58008.0,0.4869328369,5.6543924976,60.7892014894,0.7973038202,6.56,2.76,0.0,9.32,0.56492,70.5252,56.2188,0.925,2.7876,74.3564,3.4668,0.37968,10.32,0.88,2.84,0.20632,0.55316,1163.9,0.44,1160.16,,65.987362
gemma-12b,adversarial,zero_shot,gemma-12b:zero_shot,25,3.48,0.88,0.56,4.92,0.31888,84.2463636364,69.0263636364,0.93,2.4184,68.6512,3.2224,0.36188,8.0,0.56,1.84,0.48,0.3554,693.5,0.28,690.42,,174.0,15.944,1853.42,46.5,34675.0,14.0,34521.0,0.4618637931,5.0404101851,53.6896381912,1.3470061702,3.48,0.88,0.56,4.92,0.31888,84.2463636364,69.0263636364,0.93,2.4184,68.6512,3.2224,0.36188,8.0,0.56,1.84,0.48,0.3554,693.5,0.28,690.42,,59.150232
gemma-12b,adversarial,cot,gemma-12b:cot,25,7.2,2.2,0.08,9.48,0.68244,85.167826087,70.3639130435,0.892,2.7716,71.092,3.8056,0.34436,7.44,0.48,1.6,0.52308,0.32432,449.06,0.24,446.14,,360.0,34.122,3917.72,44.6,22453.0,12.0,22307.0,1.5296543686,16.1384318824,175.6273815394,1.9993723943,7.2,2.2,0.08,9.48,0.68244,85.167826087,70.3639130435,0.892,2.7716,71.092,3.8056,0.34436,7.44,0.48,1.6,0.52308,0.32432,449.06,0.24,446.14,,73.810171
gemma-12b,adversarial,scot,gemma-12b:scot,25,5.76,1.52,0.24,7.52,0.58936,85.3321052632,67.5705263158,0.654,2.3128,70.528,3.2988,0.37572,2.64,0.24,1.12,0.684,0.20608,887.66,0.12,886.9,,288.0,29.468,3242.62,32.7,44383.0,6.0,44345.0,0.6645168565,6.4945315143,73.1225617319,0.7373999323,5.76,1.52,0.24,7.52,0.58936,85.3321052632,67.5705263158,0.654,2.3128,70.528,3.2988,0.37572,2.64,0.24,1.12,0.684,0.20608,887.66,0.12,886.9,,63.989969
gemma-12b,adversarial,few_shot,gemma-12b:few_shot,25,1.72,1.12,0.04,2.88,0.20064,40.4333333333,28.29875,0.93,2.7824,68.5212,2.6616,0.47496,3.76,0.16,0.52,0.84,0.11172,992.18,7.52,998.0,,86.0,10.032,1940.8,46.5,49609.0,376.0,49900.0,0.2010420842,1.7234468938,38.8937875752,0.9318637275,1.72,1.12,0.04,2.88,0.20064,40.4333333333,28.29875,0.93,2.7824,68.5212,2.6616,0.47496,3.76,0.16,0.52,0.84,0.11172,992.18,7.52,998.0,,40.063597
gemma-12b,atomic_swarm,zero_shot,gemma-12b:zero_shot,25,0.24,2.64,0.04,2.92,0.07996,62.6992,24.96,1.0,2.0,89.2472,1.5236,0.64144,3.44,0.84,3.16,0.03996,0.51916,757.82,0.42,757.68,,12.0,3.998,3134.96,50.0,37891.0,21.0,37884.0,0.1055326787,0.3167564143,82.7515573857,1.319818393,0.24,2.64,0.04,2.92,0.07996,62.6992,24.96,1.0,2.0,89.2472,1.5236,0.64144,3.44,0.84,3.16,0.03996,0.51916,757.82,0.42,757.68,,46.682788
gemma-12b,atomic_swarm,cot,gemma-12b:cot,25,0.32,2.6,0.04,2.96,0.1066,64.0428,26.6,1.0,1.99,89.208,1.5088,0.64192,3.56,0.84,3.2,0.03996,0.52416,759.98,0.42,759.8,,16.0,5.33,3202.14,50.0,37999.0,21.0,37990.0,0.140300079,0.4211634641,84.2890234272,1.3161358252,0.32,2.6,0.04,2.96,0.1066,64.0428,26.6,1.0,1.99,89.208,1.5088,0.64192,3.56,0.84,3.2,0.03996,0.52416,759.98,0.42,759.8,,48.127623
