model,agent,prompt,config_label,problems,passed_mean,failed_mean,errors_mean,total_mean,functional_correctness_mean,line_coverage_mean,branch_coverage_mean,mutation_score_mean,complexity_cc_mean,maintainability_mi_mean,bloat_ratio_mean,similarity_score_mean,unique_inputs_count_mean,edge_case_count_mean,test_type_count_mean,duplication_ratio_mean,diversity_score_mean,prompt_tokens_mean,completion_tokens_mean,total_tokens_mean,execution_time_mean,passed_sum,functional_correctness_sum,line_coverage_sum,mutation_score_sum,prompt_tokens_sum,completion_tokens_sum,total_tokens_sum,fc_per_1k_tokens,passed_per_1k_tokens,coverage_per_1k_tokens,mutation_per_1k_tokens,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,unique_inputs_count,edge_case_count,test_type_count,duplication_ratio,diversity_score,prompt_tokens,completion_tokens,total_tokens,elapsed_s,quality_rank
gemma-12b,actor_critic,zero_shot,gemma-12b:zero_shot,25,2.56,1.12,0.76,4.44,0.16272,87.08,77.1066666667,0.97,2.2584,62.538,3.636,0.30368,15.28,0.92,2.76,0.26132,0.53508,2671.92,0.0,2671.92,,64.0,4.068,522.48,24.25,66798.0,0.0,66798.0,0.0609000269,0.9581125183,7.8217910716,0.3630348214,2.56,1.12,0.76,4.44,0.16272,87.08,77.1066666667,0.97,2.2584,62.538,3.636,0.30368,15.28,0.92,2.76,0.26132,0.53508,2671.92,0.0,2671.92,,55.714975
gemma-12b,actor_critic,cot,gemma-12b:cot,25,11.76,3.76,0.04,15.56,0.7172,86.4833333333,67.40625,0.92,2.5288,68.5324,4.2412,0.30592,11.84,0.8,2.16,0.36308,0.4576,2855.92,18.68,2874.6,,294.0,17.93,2075.6,23.0,71398.0,467.0,71865.0,0.249495582,4.0910039658,28.8819313992,0.3200445279,11.76,3.76,0.04,15.56,0.7172,86.4833333333,67.40625,0.92,2.5288,68.5324,4.2412,0.30592,11.84,0.8,2.16,0.36308,0.4576,2855.92,18.68,2874.6,,76.033252
gemma-12b,actor_critic,scot,gemma-12b:scot,25,5.96,2.36,0.36,8.68,0.4566,86.39375,62.73625,0.97,2.4764,69.9516,3.75,0.34448,12.28,0.96,2.52,0.32364,0.49816,2252.48,29.16,2281.64,,149.0,11.415,1382.3,24.25,56312.0,729.0,57041.0,0.2001192125,2.6121561684,24.2334461177,0.4251327992,5.96,2.36,0.36,8.68,0.4566,86.39375,62.73625,0.97,2.4764,69.9516,3.75,0.34448,12.28,0.96,2.52,0.32364,0.49816,2252.48,29.16,2281.64,,67.289413
gemma-12b,actor_critic,few_shot,gemma-12b:few_shot,25,6.56,2.76,0.0,9.32,0.56492,70.4452,56.2188,0.92,2.7876,74.3564,3.4668,0.37968,10.32,0.88,2.84,0.20632,0.55316,2317.48,0.0,2317.48,,164.0,14.123,1761.13,23.0,57937.0,0.0,57937.0,0.243764779,2.8306608903,30.3973281323,0.3969829297,6.56,2.76,0.0,9.32,0.56492,70.4452,56.2188,0.92,2.7876,74.3564,3.4668,0.37968,10.32,0.88,2.84,0.20632,0.55316,2317.48,0.0,2317.48,,67.402016
gemma-12b,adversarial,zero_shot,gemma-12b:zero_shot,25,3.48,0.88,0.56,4.92,0.31888,84.2463636364,69.0263636364,0.93,2.4184,68.6512,3.2224,0.36188,8.0,0.56,1.84,0.48,0.3554,1379.0,0.0,1379.0,,87.0,7.972,926.71,23.25,34475.0,0.0,34475.0,0.231240029,2.5235678028,26.8806381436,0.6744017404,3.48,0.88,0.56,4.92,0.31888,84.2463636364,69.0263636364,0.93,2.4184,68.6512,3.2224,0.36188,8.0,0.56,1.84,0.48,0.3554,1379.0,0.0,1379.0,,60.048777
gemma-12b,adversarial,cot,gemma-12b:cot,25,7.2,2.2,0.08,9.48,0.68244,85.167826087,70.3639130435,0.888,2.7716,71.092,3.8056,0.34436,7.44,0.48,1.6,0.52308,0.32432,890.68,0.0,890.68,,180.0,17.061,1958.86,22.2,22267.0,0.0,22267.0,0.7662011048,8.0837113217,87.9714375533,0.996991063,7.2,2.2,0.08,9.48,0.68244,85.167826087,70.3639130435,0.888,2.7716,71.092,3.8056,0.34436,7.44,0.48,1.6,0.52308,0.32432,890.68,0.0,890.68,,74.331178
gemma-12b,adversarial,scot,gemma-12b:scot,25,5.76,1.52,0.24,7.52,0.58936,85.3321052632,67.5705263158,0.658,2.3128,70.528,3.2988,0.37572,2.64,0.24,1.12,0.684,0.20608,1772.68,0.0,1772.68,,144.0,14.734,1621.31,16.45,44317.0,0.0,44317.0,0.332468353,3.2493174177,36.5843807117,0.3711893856,5.76,1.52,0.24,7.52,0.58936,85.3321052632,67.5705263158,0.658,2.3128,70.528,3.2988,0.37572,2.64,0.24,1.12,0.684,0.20608,1772.68,0.0,1772.68,,65.203076
gemma-12b,adversarial,few_shot,gemma-12b:few_shot,25,1.72,1.12,0.04,2.88,0.20064,40.3341666667,28.29875,0.93,2.7824,68.5212,2.6616,0.47496,3.76,0.16,0.52,0.84,0.11172,1980.6,14.88,1995.48,,43.0,5.016,968.02,23.25,49515.0,372.0,49887.0,0.1005472368,0.8619480025,19.4042536132,0.4660532804,1.72,1.12,0.04,2.88,0.20064,40.3341666667,28.29875,0.93,2.7824,68.5212,2.6616,0.47496,3.76,0.16,0.52,0.84,0.11172,1980.6,14.88,1995.48,,41.335676
gemma-12b,atomic_swarm,zero_shot,gemma-12b:zero_shot,25,0.24,2.64,0.04,2.92,0.07996,62.6992,24.96,1.0,2.0,89.2472,1.5236,0.64144,3.44,0.84,3.16,0.03996,0.51916,1512.2,0.0,1512.2,,6.0,1.999,1567.48,25.0,37805.0,0.0,37805.0,0.0528766036,0.1587091655,41.4622404444,0.6612881894,0.24,2.64,0.04,2.92,0.07996,62.6992,24.96,1.0,2.0,89.2472,1.5236,0.64144,3.44,0.84,3.16,0.03996,0.51916,1512.2,0.0,1512.2,,47.669921
gemma-12b,atomic_swarm,cot,gemma-12b:cot,25,0.32,2.6,0.04,2.96,0.1066,64.0428,26.6,1.0,1.99,89.208,1.5088,0.64192,3.56,0.84,3.2,0.03996,0.52416,1516.4,0.0,1516.4,,8.0,2.665,1601.07,25.0,37910.0,0.0,37910.0,0.0702980744,0.2110261145,42.2334476391,0.6594566078,0.32,2.6,0.04,2.96,0.1066,64.0428,26.6,1.0,1.99,89.208,1.5088,0.64192,3.56,0.84,3.2,0.03996,0.52416,1516.4,0.0,1516.4,,49.117546
