model,agent,prompt,functional_correctness,total_tokens
gemma-1b,actor_critic,few_shot,0.525,2477.4
gemma-1b,hybrid,few_shot,0.38604,4626.08
gemma-1b,adversarial,few_shot,0.34572,1572.32
gemma-1b,adversarial,zero_shot,0.28108,2578.48
gemma-1b,actor_critic,zero_shot,0.27816,3408.68
gemma-1b,hybrid,scot,0.26496,6184.56
gemma-1b,hybrid,zero_shot,0.25816,6079.0
gemma-1b,swarm,few_shot,0.17028,4548.88
gemma-1b,adversarial,scot,0.16476,1675.68
gemma-1b,actor_critic,scot,0.15272,3462.0
gemma-1b,consensus,zero_shot,0.12136,4891.28
gemma-1b,consensus,few_shot,0.12,4361.28
gemma-1b,baseline,zero_shot,0.11748000000000001,3800.0
gemma-1b,swarm,zero_shot,0.10800000000000001,3610.4
gemma-1b,baseline,few_shot,0.10332000000000001,4188.72
gemma-1b,soa,zero_shot,0.06939999999999999,1923.84
gemma-1b,swarm,cot,0.06,4796.0
gemma-1b,baseline,scot,0.050760000000000007,3740.2
gemma-1b,swarm,scot,0.050760000000000007,4039.08
gemma-1b,soa,scot,0.049640000000000004,1603.44
gemma-1b,atomic_swarm,few_shot,0.04,3562.24
gemma-1b,soa,few_shot,0.04,1802.8
gemma-1b,coa,few_shot,0.033319999999999995,3048.0
gemma-1b,coa,scot,0.03248,4623.72
gemma-1b,self_healing,scot,0.027999999999999997,2882.8
gemma-1b,atomic_swarm,scot,0.02544,7069.52
gemma-1b,soa,cot,0.01332,1784.56
gemma-1b,actor_critic,cot,0.0,2395.36
gemma-1b,adversarial,cot,0.0,2248.72
gemma-1b,atomic_swarm,cot,0.0,5123.4
gemma-1b,atomic_swarm,zero_shot,0.0,4275.56
gemma-1b,baseline,cot,0.0,3485.84
gemma-1b,coa,cot,0.0,3520.84
gemma-1b,coa,zero_shot,0.0,3150.4
gemma-1b,consensus,cot,0.0,3744.28
gemma-1b,consensus,scot,0.0,4337.2
gemma-1b,hybrid,cot,0.0,3905.32
gemma-1b,self_healing,cot,0.0,3204.2
gemma-1b,self_healing,few_shot,0.0,2767.16
gemma-1b,self_healing,zero_shot,0.0,3592.52
gemma-4b,atomic_swarm,few_shot,0.93336,2952.8
gemma-4b,swarm,few_shot,0.856,4534.8
gemma-4b,coa,few_shot,0.83344,2396.44
gemma-4b,atomic_swarm,zero_shot,0.79668,2679.36
gemma-4b,atomic_swarm,cot,0.774,2906.84
gemma-4b,coa,zero_shot,0.75996,1794.44
gemma-4b,hybrid,few_shot,0.7413599999999999,5498.16
gemma-4b,atomic_swarm,scot,0.73256,1605.08
gemma-4b,swarm,scot,0.71664,3554.96
gemma-4b,coa,cot,0.71044,1432.08
gemma-4b,actor_critic,few_shot,0.70976,4422.68
gemma-4b,swarm,zero_shot,0.6977599999999999,4284.28
gemma-4b,coa,scot,0.65364,2131.32
gemma-4b,consensus,few_shot,0.6344,2696.36
gemma-4b,actor_critic,zero_shot,0.63068,2935.32
gemma-4b,swarm,cot,0.6078,5136.84
gemma-4b,consensus,scot,0.6050800000000001,5221.36
gemma-4b,actor_critic,scot,0.60492,3480.56
gemma-4b,consensus,zero_shot,0.5966400000000001,4283.68
gemma-4b,actor_critic,cot,0.57648,2659.12
gemma-4b,consensus,cot,0.57048,5684.12
gemma-4b,soa,few_shot,0.56724,1320.24
gemma-4b,hybrid,zero_shot,0.5566,3273.96
gemma-4b,baseline,few_shot,0.5548000000000001,6014.76
gemma-4b,hybrid,scot,0.5452,3366.88
gemma-4b,soa,scot,0.53272,1199.84
gemma-4b,soa,zero_shot,0.5082800000000001,1222.52
gemma-4b,baseline,zero_shot,0.50048,5603.12
gemma-4b,baseline,cot,0.48404,5311.08
gemma-4b,hybrid,cot,0.47808,2638.44
gemma-4b,self_healing,scot,0.47387999999999997,919.8
gemma-4b,adversarial,zero_shot,0.46872,3159.56
gemma-4b,baseline,scot,0.45744,6069.2
gemma-4b,soa,cot,0.45004,1005.68
gemma-4b,adversarial,few_shot,0.43816000000000005,2939.04
gemma-4b,adversarial,cot,0.42752,2267.56
gemma-4b,self_healing,zero_shot,0.41516,1479.04
gemma-4b,self_healing,cot,0.3726,1988.24
gemma-4b,adversarial,scot,0.17559999999999998,2334.6
gemma-4b,self_healing,few_shot,0.172,1203.0
